  1573|  3688|  49|  96|3
  2134|  3693|  30|  90|3
  2240|  3644|  36|  57|3
  2344|  3650|  59|  45|3
  2458|  3596|  40|  93|3
  2584|  3604|  59|  62|3
  2682|  3559|  40|  76|3
  2817|  3556|  48|  71|3
  5279|  4509|  40|  77|3
  5041|  4504|  80|  38|3
  5000|  4746| 169|  40|3
  8538|   831|  67| 155|4
   946|  1481|  59|  61|5
  6017|  1114|  51|  52|5
  7553|  2364|  59|  68|5
  4504|  2664|  56|  56|5
  1831|  3806|  61|  61|5
  5438|  4612|  62|  46|5
  1656|  4709|  63|  60|2
  2241|  4813|  56|  59|2
  4658|  4290|  50|  56|2
  1997|  3793|  60|  63|2
  2509|  3697|  62|  58|2
  2907|  3320|  58|  57|2
  3047|  3634|  87|  80|1
  1689|  3394|  74|  72|1
  1864|  3469|  80|  77|1
  7202|  2386|  72|  85|1
  4901|  3099|  71|  74|1
  5067|  2631|  70|  80|1
  4983|  2147|  88|  75|1
  4742|  3692|  62|  63|2
  4202|  4649|  77|  72|1
  3431|  4718|  79|  71|1
  2700|  4953|  98|  79|1
  7685|  4339| 100| 114|6
  6727|  4641| 102| 109|7
  6837|  4641| 102| 109|7
  6947|  4641| 102| 109|7
  7057|  4641| 102| 109|7
  7167|  4641| 102| 109|7
  7277|  4641| 102| 109|7
  7387|  4641| 102| 109|7
  7497|  4641| 102| 109|7
  7607|  4641| 102| 109|7
  7717|  4641| 102| 109|7
  7827|  4641| 102| 109|7
  7937|  4641| 102| 109|7
  8047|  4641| 102| 109|7
  8157|  4641| 102| 109|7
  8267|  4641| 102| 109|7
  4039|  3444|  82|  73|1
  5079|  2075|  86|  69|2
  7320|  2348|  76|  64|2
  6230|  2597|  84|  81|1
  6368|  2719|  80|  85|1
  4923|  3888|  77|  79|1
  3734|  4608|  78|  64|2
  2424|  5002|  91|  90|1
  9165|   836|  53|  58|5
  4498|   414|  79|  59|2
  4595|   838|  63|  60|2
  4596|   541|  73|  69|1
  4487|   594|  84|  79|1
  5892|   664|  77|  86|1
  6265|   417|  63|  71|2
  6434|   418|  77|  75|2
  6961|   626|  76|  82|1
  6887|   765|  74|  86|1
  1347|  1182|  85|  70|1
  2105|  1346| 100|  86|1
   899|  1470|  69|  67|2
   625|   991|  72|  70|2
  2620|  1436|  78|  82|1
  2754|  1337|  89|  83|1
  3026|  1092|  68|  64|2
  4003|  1358|  80|  90|1
  4980|  1093|  68|  58|2
  4588|  1093|  62|  70|2
