  1573|  3688|  49|  96|3
  2134|  3693|  30|  90|3
  2240|  3644|  36|  57|3
  2344|  3650|  59|  45|3
  2458|  3596|  40|  93|3
  2584|  3604|  59|  62|3
  2682|  3559|  40|  76|3
  2817|  3556|  48|  71|3
  5279|  4509|  40|  77|3
  5041|  4504|  80|  38|3
  5000|  4746| 169|  40|3
  8538|   831|  67| 155|4
   946|  1481|  59|  61|5
  6017|  1114|  51|  52|5
  7553|  2364|  59|  68|5
  4504|  2664|  56|  56|5
  1831|  3806|  61|  61|5
  5438|  4612|  62|  46|5
  1656|  4709|  63|  60|2
  2241|  4813|  56|  59|2
  4658|  4290|  50|  56|2
  1997|  3793|  60|  63|2
  2509|  3697|  62|  58|2
  2907|  3320|  58|  57|2
  3047|  3634|  87|  80|1
  1689|  3394|  74|  72|1
  1864|  3469|  80|  77|1
  7202|  2386|  72|  85|1
  4901|  3099|  71|  74|1
  5067|  2631|  70|  80|1
  4983|  2147|  88|  75|1
  4742|  3692|  62|  63|2
  4202|  4649|  77|  72|1
  3431|  4718|  79|  71|1
  2700|  4953|  98|  79|1
  7685|  4339| 100| 114|6
