   388|  4476| 140| 576|1
   510|  4461| 866| 144|1
  1311|  4563| 811| 146|1
  2078|  4668| 780| 142|1
  2846|  4595| 359| 111|1
  3172|  4492|1462| 113|1
  4894|  4379| 463| 134|1
  5308|  4500| 298| 104|1
   522|  4953| 291| 213|1
   779|  4999| 152| 296|1
  5595|  4569| 144| 467|1
  4981|  4784| 213| 220|1
  5180|  4887| 454| 141|1
  4679|  4893| 319| 134|1
  4290|  5014| 459| 142|1
  3945|  5151| 419| 118|1
  4583|  4225| 196|  63|1
  4321|  3625| 128| 881|1
  4055|  3679| 306| 115|1
  4414|  3617| 137|  71|1
  4638|  3329| 103| 170|1
  4671|  3596| 193|  93|1
  4670|  3478| 108| 137|1
  3851|  3244| 804| 123|1
  3608|  3472| 130|  34|1
  3005|  3562| 109|  33|1
  2721|  3555| 103|  88|1
  2497|  3600|  89|  94|1
  2272|  3646|  81|  72|1
  1624|  3692| 506|  98|1
  1163|  3260| 151|1068|1
  1301|  4178|2302| 137|1
  4013|  3788| 145| 409|1
  3581|  4085| 435| 145|1
  1282|  3177|2592| 142|1
  4774|  4028|  79|  33|1
  4869|  3842| 105|  24|1
  5179|  4000|  85|  77|1
  5038|  3605|  89|  79|1
  5280|  3554|  66|  29|1
  5227|  3331| 107|  25|1
  4623|  2973| 282|  86|1
  5077|  3108| 177|  40|1
  4882|  3243|  66|  40|1
  5271|  2904| 105|  25|1
  4950|  2803| 117|  32|1
  4337|  2679| 115| 578|1
  4404|  2444|  97| 303|1
  4468|  2508|  83| 148|1
  4676|  2565| 273|  47|1
  4712|  2196| 179|  49|1
  4373|  1797| 210|  92|1
  4580|  1753| 181|  97|1
  4361|  1869| 101| 588|1
  4547|  2025|  65|  29|1
  4861|  1985| 570|  86|1
  4750|  1719| 204|  84|1
  5103|  1679| 432| 121|1
  5469|  1777| 120| 251|1
  5343|  1912| 160| 131|1
  5357|  2055| 349| 107|1
  5651|  2142| 187| 367|1
  5018|  2338|  94|  79|1
  5319|  2489|1619|  83|1
  5487|  2812| 500|1579|1
  5348|  4322| 162| 115|1
  5963|  3159|1650| 104|1
  6287|  2283| 125| 244|1
  6394|  2224|1387| 121|1
  7060|  2324|  85| 102|1
  7624|  2331| 150| 920|1
  4974|  1514| 205|  46|1
  4839|  1313| 116|  36|1
   393|   893|1456|  98|1
  1793|   971| 214|  69|1
  1993|  1036|3263|  55|1
  5216|  1059| 228|  83|1
  5435|  1003| 162| 243|1
  5587|   925|1254| 108|1
  6469|  1237| 163| 643|1
  5433|  1442| 157| 241|1
   894|   968| 719| 120|1
   795|  1360| 478| 105|1
  1104|  1436| 202| 278|1
   714|  1690| 420|  86|1
   582|  1263| 121|  26|1
   104|   932| 292| 145|1
    60|  1037|  75| 854|1
   124|  1710| 617| 106|1
  9227|   751| 152| 894|1
  8363|   349| 878| 476|1
  7870|   312| 286| 150|1
  8139|   292| 250| 114|1
  7508|   417| 380| 201|1
  7246|   387| 267| 134|1
  3544|   319|3721|  95|1
  4882|   606| 116|  34|1
  4508|   680| 240| 158|1
  3519|   373| 147| 697|1
  3653|   899| 373| 161|1
  1235|  1691| 120| 304|1
  7003|   764| 169|  40|1
  3277|  3474| 112|  90|1
